"","Codes","Description","unit","Periodicity","start","last value","source"
"106","1795"," Fatores condicionantes da base monet?ria - Dep?sitos de institui??es financeiras (saldo di?rio)"," u.m.c. (mil)"," D"," 04/02/1991"," 31/03/2016"," BCB-Depec"
"107","1796"," Fatores condicionantes da base monet?ria - Dep?sitos de fundos de investimentos (saldo di?rio)"," u.m.c. (mil)"," D"," 27/03/1991"," 31/08/1999"," BCB-Depec"
"108","1797"," Recolhimentos obrigat?rios de institui??es financeiras - Exigibilidade adicional em esp?cie (remunerado)"," u.m.c. (mil)"," M"," 31/08/2002"," mar/2016"," BCB-Depec"
"109","1798"," Fatores condicionantes da base monet?ria - Autoridade Monet?ria-outras opera??es (saldo di?rio)"," u.m.c. (mil)"," D"," 04/02/1991"," 31/03/2016"," BCB-Depec"
"110","1799"," Fatores condicionantes da base monet?ria - Opera??es com t?tulos p?blicos federais (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 28/02/1991"," mar/2016"," BCB-Depec"
"111","1800"," Fatores condicionantes da base monet?ria - Tesouro Nacional - Conta ?nica (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 28/02/1991"," mar/2016"," BCB-Depec"
"112","1801"," Fatores condicionantes da base monet?ria - Opera??es com o setor externo (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 28/02/1991"," mar/2016"," BCB-Depec"
"113","1802"," Fatores condicionantes da base monet?ria - Assist?ncia financeira de liquidez (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 28/02/1991"," jan/2000"," BCB-Depec"
"114","1803"," Fatores condicionantes da base monet?ria - Proer (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 30/11/1995"," nov/1998"," BCB-Depec"
"115","1804"," Fatores condicionantes da base monet?ria - Proes (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 30/04/1997"," jun/2000"," BCB-Depec"
"116","1805"," Fatores condicionantes da base monet?ria - Dep?sitos de institui??es financeiras (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 31/01/1993"," mar/2016"," BCB-Depec"
"117","1806"," Fatores condicionantes da base monet?ria - Dep?sitos de fundos de investimentos (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 31/01/1993"," ago/1999"," BCB-Depec"
"118","1807"," Recolhimentos obrigat?rios de institui??es financeiras - Dep?sitos a prazo em esp?cie (n?o remunerados)"," u.m.c. (mil)"," M"," 30/06/1996"," mar/2010"," BCB-Depec"
"119","1808"," Fatores condicionantes da base monet?ria - Autoridade Monet?ria - Outras opera??es (m?dia nos dias ?teis do m?s)"," u.m.c. (mil)"," M"," 28/02/1991"," mar/2016"," BCB-Depec"
"120","1809"," Fatores condicionantes da base monet?ria - Opera??es com t?tulos p?blicos federais (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1986"," mar/2016"," BCB-Depec"
