"","data","valor","serie"
"360",1999-04-07," 1.417000e+03","1267"
"361",2000-04-07," 1.333000e+03","1267"
"362",2001-04-07," 1.308000e+03","1267"
"363",2002-04-07," 1.459000e+03","1267"
"364",2003-04-07," 1.485000e+03","1267"
"365",2004-04-07," 2.326000e+03","1267"
"366",2005-04-07," 5.936000e+03","1267"
"367",2006-04-07," 6.052000e+03","1267"
"368",2007-04-07," 6.362000e+03","1267"
"369",2008-04-07," 8.040000e+02","1267"
"370",2009-04-07," 8.020000e+02","1267"
"371",2010-04-07," 9.340000e+02","1267"
"372",2011-04-07," 1.054000e+03","1267"
"373",2012-04-07," 9.930000e+02","1267"
"374",1990-04-07," 8.760261e+07","1268"
"375",1991-04-07," 9.468172e+07","1268"
"376",1992-04-07," 9.841145e+07","1268"
"377",1993-04-07," 9.398594e+07","1268"
"378",1994-04-07," 8.722984e+07","1268"
"379",1995-04-07," 9.918605e+07","1268"
"380",1996-04-07," 1.053952e+08","1268"
"381",1997-04-07," 1.152340e+08","1268"
"382",1998-04-07," 1.042525e+08","1268"
"383",1999-04-07," 1.144666e+08","1268"
"384",2000-04-07," 1.066513e+08","1268"
"385",2001-04-07," 1.698344e+07","1268"
"386",2002-04-07," 1.853058e+07","1268"
"387",2003-04-07," 1.691756e+07","1268"
"388",2004-04-07," 1.831372e+07","1268"
"389",2005-04-07," 1.785344e+07","1268"
"390",2006-04-07," 1.803231e+07","1268"
"391",2007-04-07," 1.868499e+07","1268"
"392",2008-04-07," 1.853808e+07","1268"
"393",2009-04-07," 1.761845e+07","1268"
"394",2010-04-07," 1.850314e+07","1268"
"395",2011-04-07," 1.981106e+07","1268"
"396",2012-04-07," 1.801256e+07","1268"
"397",1990-04-07," 1.479710e+05","1269"
"398",1991-04-07," 1.296780e+05","1269"
"399",1992-04-07," 1.021200e+05","1269"
"400",1993-04-07," 4.318800e+04","1269"
"401",1994-04-07," 5.403900e+04","1269"
"402",1995-04-07," 3.314900e+04","1269"
"403",1996-04-07," 4.134600e+04","1269"
"404",1997-04-07," 9.744500e+04","1269"
"405",1998-04-07," 1.668300e+04","1269"
"406",1999-04-07," 3.335700e+04","1269"
"407",2000-04-07," 1.124970e+05","1269"
"408",2001-04-07," 9.995000e+04","1269"
"409",2002-04-07," 7.596100e+04","1269"
"410",2003-04-07," 8.368200e+04","1269"
"411",2004-04-07," 1.387450e+05","1269"
"412",2005-04-07," 1.688020e+05","1269"
"413",2006-04-07," 9.500000e+04","1269"
"414",2007-04-07," 9.814200e+04","1269"
"415",2008-04-07," 1.221400e+05","1269"
"416",2009-04-07," 9.107600e+04","1269"
"417",2010-04-07," 9.518300e+04","1269"
"418",2011-04-07," 1.201660e+05","1269"
"419",2012-04-07," 2.598900e+04","1269"
"420",1990-04-07," 2.432213e+07","1270"
"421",1991-04-07," 2.453750e+07","1270"
"422",1992-04-07," 2.191860e+07","1270"
"423",1993-04-07," 2.185569e+07","1270"
"424",1994-04-07," 2.446429e+07","1270"
"425",1995-04-07," 2.542296e+07","1270"
"426",1996-04-07," 1.774315e+07","1270"
"427",1997-04-07," 1.989620e+07","1270"
"428",1998-04-07," 1.950272e+07","1270"
"429",1999-04-07," 2.086434e+07","1270"
