"","data","valor","serie"
"225","1/1/1996","0.00","325"
"226","8/1/1996","0.00","325"
"227","15/1/1996","0.00","325"
"228","22/1/1996","0.00","325"
"229","29/1/1996","0.00","325"
"230","5/2/1996","0.00","325"
"231","12/2/1996","0.00","325"
"232","19/2/1996","0.00","325"
"233","26/2/1996","0.00","325"
"234","4/3/1996","0.00","325"
"235","11/3/1996","0.00","325"
"236","18/3/1996","0.00","325"
"237","25/3/1996","100.06","325"
"238","1/4/1996","383.17","325"
"239","8/4/1996","951.89","325"
"240","15/4/1996","3961.30","325"
"241","22/4/1996","3979.60","325"
"242","29/4/1996","3997.46","325"
"243","6/5/1996","6055.02","325"
"244","13/5/1996","4035.25","325"
"245","20/5/1996","4055.15","325"
"246","27/5/1996","4075.11","325"
"247","3/6/1996","4093.22","325"
"248","10/6/1996","4111.44","325"
"249","17/6/1996","4131.57","325"
"250","24/6/1996","4151.30","325"
"251","1/7/1996","4637.00","325"
"252","8/7/1996","5359.07","325"
"253","15/7/1996","5383.92","325"
"254","22/7/1996","5910.07","325"
"255","29/7/1996","5936.84","325"
"256","5/8/1996","5963.86","325"
"257","12/8/1996","5991.42","325"
"258","19/8/1996","6019.64","325"
"259","26/8/1996","6048.02","325"
"260","2/9/1996","6172.99","325"
"261","9/9/1996","6153.98","325"
"262","16/9/1996","6134.78","325"
"263","23/9/1996","6163.27","325"
"264","30/9/1996","6189.28","325"
"265","7/10/1996","6215.96","325"
"266","14/10/1996","6009.87","325"
"267","21/10/1996","5880.38","325"
"268","28/10/1996","5907.22","325"
"269","4/11/1996","6096.53","325"
"270","11/11/1996","6292.91","325"
"271","18/11/1996","6350.72","325"
"272","25/11/1996","6512.20","325"
"273","2/12/1996","6638.94","325"
"274","9/12/1996","6671.40","325"
"275","16/12/1996","7103.05","325"
"276","23/12/1996","12241.60","325"
"277","30/12/1996","12271.46","325"
"278","6/1/1997","8167.40","325"
"279","13/1/1997","8104.25","325"
"280","20/1/1997","13826.68","325"
"281","27/1/1997","20707.06","325"
"282","3/2/1997","20800.67","325"
"283","10/2/1997","20277.95","325"
"284","17/2/1997","20430.25","325"
"285","24/2/1997","20763.94","325"
"286","3/3/1997","21029.38","325"
"287","10/3/1997","21341.26","325"
"288","17/3/1997","21495.67","325"
"289","24/3/1997","21639.38","325"
"290","31/3/1997","20806.71","325"
"291","7/4/1997","20966.89","325"
"292","14/4/1997","21114.78","325"
"293","21/4/1997","45730.02","325"
"294","28/4/1997","92002.81","325"
"295","5/5/1997","147777.64","325"
"296","12/5/1997","170799.96","325"
"297","19/5/1997","186854.56","325"
"298","26/5/1997","214800.22","325"
"299","2/6/1997","215668.86","325"
"300","9/6/1997","216653.39","325"
"301","16/6/1997","217464.08","325"
"302","23/6/1997","218062.50","325"
"303","30/6/1997","218656.87","325"
"304","7/7/1997","219335.67","325"
"305","14/7/1997","220346.21","325"
"306","21/7/1997","221008.00","325"
"307","28/7/1997","213734.58","325"
"308","4/8/1997","211958.30","325"
"309","11/8/1997","214712.55","325"
"310","18/8/1997","215577.99","325"
"311","25/8/1997","216416.86","325"
"312","1/9/1997","217252.94","325"
"313","8/9/1997","218091.55","325"
"314","15/9/1997","221184.69","325"
"315","22/9/1997","222024.84","325"
"316","29/9/1997","222434.10","325"
"317","6/10/1997","223246.15","325"
"318","13/10/1997","224060.74","325"
"319","20/10/1997","223878.51","325"
"320","27/10/1997","220681.65","325"
"321","3/11/1997","223563.38","325"
"322","10/11/1997","223693.01","325"
"323","17/11/1997","225788.12","325"
"324","24/11/1997","222603.26","325"
"325","1/12/1997","223969.28","325"
"326","8/12/1997","225332.51","325"
"327","15/12/1997","228182.34","325"
"328","22/12/1997","146213.09","325"
"329","29/12/1997","6964.17","325"
"330","5/1/1998","6945.30","325"
"331","12/1/1998","6961.72","325"
"332","19/1/1998","6390.85","325"
"333","26/1/1998","6019.98","325"
"334","2/2/1998","5676.69","325"
"335","9/2/1998","5021.89","325"
"336","16/2/1998","5046.69","325"
"337","23/2/1998","5070.48","325"
"338","2/3/1998","5115.27","325"
"339","9/3/1998","5092.70","325"
"340","16/3/1998","5074.17","325"
"341","23/3/1998","5212.49","325"
"342","30/3/1998","5325.32","325"
"343","6/4/1998","5346.56","325"
"344","13/4/1998","5367.09","325"
"345","20/4/1998","5120.75","325"
"346","27/4/1998","5406.16","325"
"347","4/5/1998","5426.90","325"
"348","11/5/1998","5450.51","325"
"349","18/5/1998","5474.80","325"
"350","25/5/1998","5498.66","325"
"351","1/6/1998","5522.49","325"
"352","8/6/1998","5543.81","325"
"353","15/6/1998","5664.82","325"
"354","22/6/1998","6010.47","325"
"355","29/6/1998","5962.24","325"
"356","6/7/1998","5986.48","325"
"357","13/7/1998","6011.39","325"
"358","20/7/1998","13824.72","325"
"359","27/7/1998","13719.51","325"
"360","3/8/1998","13733.78","325"
"361","10/8/1998","13616.48","325"
"362","17/8/1998","13554.25","325"
"363","24/8/1998","13605.77","325"
"364","31/8/1998","13657.51","325"
"365","7/9/1998","13708.12","325"
"366","14/9/1998","43802.89","325"
"367","21/9/1998","63972.81","325"
"368","28/9/1998","64116.23","325"
"369","5/10/1998","71327.97","325"
"370","12/10/1998","96670.50","325"
"371","19/10/1998","115217.00","325"
"372","26/10/1998","115843.80","325"
"373","2/11/1998","116411.14","325"
"374","9/11/1998","116979.64","325"
"375","16/11/1998","117603.71","325"
"376","23/11/1998","118219.06","325"
"377","30/11/1998","118837.04","325"
"378","7/12/1998","112449.27","325"
"379","14/12/1998","108280.97","325"
"380","21/12/1998","108767.84","325"
"381","28/12/1998","109199.37","325"
"382","4/1/1999","109686.92","325"
"383","11/1/1999","110231.07","325"
"384","18/1/1999","110674.01","325"
"385","25/1/1999","111405.99","325"
"386","1/2/1999","112010.96","325"
"387","8/2/1999","112777.47","325"
"388","15/2/1999","113054.95","325"
"389","22/2/1999","112109.24","325"
"390","1/3/1999","112146.66","325"
"391","8/3/1999","112687.19","325"
"392","15/3/1999","67972.19","325"
"393","22/3/1999","56670.47","325"
"394","29/3/1999","57273.49","325"
"395","5/4/1999","57545.16","325"
"396","12/4/1999","35027.57","325"
"397","19/4/1999","3813.83","325"
"398","26/4/1999","799.02","325"
"399","3/5/1999","776.48","325"
"400","10/5/1999","736.17","325"
"401","17/5/1999","911.41","325"
"402","24/5/1999","842.41","325"
"403","31/5/1999","328.64","325"
"404","7/6/1999","99.46","325"
"405","14/6/1999","0.00","325"
"406","21/6/1999","0.00","325"
"407","28/6/1999","0.00","325"
"408","5/7/1999","0.00","325"
"409","12/7/1999","0.00","325"
"410","19/7/1999","0.00","325"
"411","26/7/1999","0.00","325"
"412","28/8/1995","0.00","326"
"413","4/9/1995","0.00","326"
"414","11/9/1995","0.00","326"
"415","18/9/1995","0.00","326"
"416","25/9/1995","0.00","326"
"417","2/10/1995","0.00","326"
"418","9/10/1995","0.00","326"
"419","16/10/1995","0.00","326"
"420","23/10/1995","0.00","326"
"421","30/10/1995","0.00","326"
"422","6/11/1995","0.00","326"
"423","13/11/1995","0.00","326"
"424","20/11/1995","0.00","326"
"425","27/11/1995","0.00","326"
"426","4/12/1995","0.00","326"
"427","11/12/1995","0.00","326"
"428","18/12/1995","0.00","326"
"429","25/12/1995","231.00","326"
"430","1/1/1996","233.00","326"
"431","8/1/1996","235.00","326"
"432","15/1/1996","236.00","326"
"433","22/1/1996","237.81","326"
"434","29/1/1996","239.28","326"
"435","5/2/1996","643.43","326"
"436","12/2/1996","738.70","326"
"437","19/2/1996","736.22","326"
"438","26/2/1996","739.78","326"
"439","4/3/1996","1172.35","326"
"440","11/3/1996","1470.80","326"
"441","18/3/1996","1478.28","326"
"442","25/3/1996","1486.11","326"
